open_time,open,high,low,close,volume
2025-06-17 04:56:00,368.13,368.22,366.83,366.85,143326.68645
2025-06-17 04:57:00,366.88,367.31,366.62,366.99,117750.69996
2025-06-17 04:58:00,366.97,367.39,366.79,366.95,109367.41809
2025-06-17 04:59:00,366.96,367.42,366.55,367.32,78000.75721
2025-06-17 05:00:00,367.35,367.52,366.22,366.30,150460.88917
2025-06-17 05:01:00,366.29,366.83,366.20,366.21,55629.96326
2025-06-17 05:02:00,366.21,366.21,365.23,365.37,300340.37148
2025-06-17 05:03:00,365.33,365.36,364.68,364.87,125913.03425
2025-06-17 05:04:00,364.88,365.27,364.66,365.13,71377.23544
2025-06-17 05:05:00,365.09,365.62,364.89,365.47,89850.76947
2025-06-17 05:06:00,365.46,365.78,364.74,364.93,51657.54517
2025-06-17 05:07:00,364.93,365.56,364.79,365.43,38597.47666
2025-06-17 05:08:00,365.49,366.41,365.44,366.41,78929.54901
2025-06-17 05:09:00,366.37,366.58,365.89,366.45,76488.28898
2025-06-17 05:10:00,366.45,366.59,365.72,365.72,51886.63598
2025-06-17 05:11:00,365.71,366.95,365.71,366.73,154104.84311
2025-06-17 05:12:00,366.67,367.03,366.39,366.39,60080.89684
2025-06-17 05:13:00,366.40,366.55,365.89,366.46,88965.98890
2025-06-17 05:14:00,366.48,366.48,365.87,366.35,101013.33034
2025-06-17 05:15:00,366.31,366.50,365.88,366.37,48861.34953
2025-06-17 05:16:00,366.41,366.66,366.12,366.31,31058.62363
2025-06-17 05:17:00,366.31,366.32,365.52,365.60,37474.82389
2025-06-17 05:18:00,365.52,365.86,364.93,365.06,48911.49831
2025-06-17 05:19:00,365.06,365.06,363.57,364.14,302981.34807
2025-06-17 05:20:00,364.18,364.51,363.50,364.00,131883.75362
2025-06-17 05:21:00,363.99,364.22,363.70,364.04,110683.29423
2025-06-17 05:22:00,363.99,364.32,363.66,364.32,104532.22058
2025-06-17 05:23:00,364.35,364.35,363.76,363.85,34267.26515
2025-06-17 05:24:00,363.84,365.05,363.69,364.51,161791.39376
2025-06-17 05:25:00,364.51,364.51,363.80,364.03,42147.48610
2025-06-17 05:26:00,364.02,364.28,363.44,363.88,184216.61337
2025-06-17 05:27:00,363.96,364.37,363.65,364.29,57212.14427
2025-06-17 05:28:00,364.31,364.51,363.85,364.48,48272.09686
2025-06-17 05:29:00,364.47,365.38,364.47,364.81,91925.67692
2025-06-17 05:30:00,364.81,365.25,364.60,364.65,47138.43403
2025-06-17 05:31:00,364.59,364.59,364.00,364.07,42219.65448
2025-06-17 05:32:00,364.05,365.50,364.03,365.30,139163.16353
2025-06-17 05:33:00,365.27,365.37,364.90,365.31,45722.46565
2025-06-17 05:34:00,365.32,365.36,364.16,364.37,76685.33099
2025-06-17 05:35:00,364.41,364.76,364.25,364.58,87393.17571
2025-06-17 05:36:00,364.61,365.56,364.60,365.56,45392.20964
2025-06-17 05:37:00,365.58,366.17,365.35,365.40,133509.89127
2025-06-17 05:38:00,365.42,365.51,364.33,364.38,131045.75534
2025-06-17 05:39:00,364.39,364.97,364.36,364.60,46511.65025
2025-06-17 05:40:00,364.54,365.21,364.40,365.08,243404.40917
2025-06-17 05:41:00,365.13,365.72,365.13,365.42,43331.62858
2025-06-17 05:42:00,365.43,365.51,365.06,365.46,33541.12375
2025-06-17 05:43:00,365.45,365.89,365.41,365.42,46468.92273
2025-06-17 05:44:00,365.49,365.49,364.87,364.89,20131.18461
2025-06-17 05:45:00,364.92,365.24,364.67,364.70,26183.22100
2025-06-17 05:46:00,364.68,364.71,363.67,363.78,61266.24762
2025-06-17 05:47:00,363.78,363.98,363.26,363.95,49390.44513
2025-06-17 05:48:00,363.95,364.07,363.72,363.93,42559.78579
2025-06-17 05:49:00,363.93,364.16,363.92,363.94,15125.95411
2025-06-17 05:50:00,363.99,364.86,363.93,364.86,27933.50004
2025-06-17 05:51:00,364.84,366.09,364.84,365.81,65315.06022
2025-06-17 05:52:00,365.82,366.88,365.54,366.86,119129.59759
2025-06-17 05:53:00,366.85,367.76,366.64,367.69,135986.59193
2025-06-17 05:54:00,367.75,369.47,367.45,369.29,774833.12963
2025-06-17 05:55:00,369.26,371.65,369.19,370.57,556324.43255
2025-06-17 05:56:00,370.57,371.79,370.49,371.67,215398.33734
2025-06-17 05:57:00,371.72,372.24,371.21,371.47,227079.77913
2025-06-17 05:58:00,371.55,372.24,370.93,371.44,144423.74931
2025-06-17 05:59:00,371.44,372.00,371.29,371.29,134889.09325
2025-06-17 06:00:00,371.37,372.03,370.92,371.00,322796.62563
2025-06-17 06:01:00,370.98,371.00,369.59,369.72,150390.93073
2025-06-17 06:02:00,369.72,369.93,369.35,369.78,141205.22787
2025-06-17 06:03:00,369.78,369.80,368.80,369.37,325786.91758
2025-06-17 06:04:00,369.37,369.92,368.91,369.21,182681.48140
2025-06-17 06:05:00,369.22,369.22,368.35,368.47,97629.04725
2025-06-17 06:06:00,368.47,370.22,368.26,369.86,99352.48171
2025-06-17 06:07:00,369.86,370.39,369.61,369.95,44122.13709
2025-06-17 06:08:00,369.92,371.46,369.92,371.30,90111.10104
2025-06-17 06:09:00,371.29,371.36,370.45,370.54,110554.58026
2025-06-17 06:10:00,370.62,370.91,370.29,370.62,57282.56161
2025-06-17 06:11:00,370.65,370.65,369.91,370.32,68627.78279
2025-06-17 06:12:00,370.35,371.27,370.29,370.56,159103.53642
2025-06-17 06:13:00,370.50,370.59,369.76,369.76,38820.44149
2025-06-17 06:14:00,369.77,370.53,369.24,370.17,244135.59239
2025-06-17 06:15:00,370.19,370.72,370.00,370.00,93072.77349
2025-06-17 06:16:00,370.00,370.74,369.76,370.74,76412.48989
2025-06-17 06:17:00,370.73,370.94,370.42,370.94,45052.17102
2025-06-17 06:18:00,370.87,370.87,369.42,369.45,125539.06087
2025-06-17 06:19:00,369.42,369.80,369.22,369.49,44178.14878
2025-06-17 06:20:00,369.50,370.16,369.50,369.62,42995.91664
2025-06-17 06:21:00,369.62,369.62,369.30,369.40,26561.28551
2025-06-17 06:22:00,369.43,369.43,368.86,369.22,46001.94316
2025-06-17 06:23:00,369.22,369.22,368.95,369.03,20211.06846
2025-06-17 06:24:00,368.97,369.13,368.47,368.57,129310.64731
2025-06-17 06:25:00,368.64,369.17,368.52,368.96,52790.75978
2025-06-17 06:26:00,368.94,369.49,368.86,369.38,49117.28029
2025-06-17 06:27:00,369.42,369.46,369.03,369.03,33137.19226
2025-06-17 06:28:00,369.03,369.45,368.69,369.08,26953.60797
2025-06-17 06:29:00,369.07,369.13,368.22,368.42,100481.73276
2025-06-17 06:30:00,368.43,368.75,368.43,368.47,52761.03140
2025-06-17 06:31:00,368.48,369.11,368.48,369.11,53867.41943
2025-06-17 06:32:00,369.11,369.86,369.10,369.54,62547.93178
2025-06-17 06:33:00,369.54,369.54,368.86,369.33,32870.41878
2025-06-17 06:34:00,369.31,370.18,369.23,370.18,100006.71664
2025-06-17 06:35:00,370.18,370.28,369.82,370.28,56878.56777
